pollster,numeric_grade,pollscore,methodology,transparency_score,start_date,end_date,candidate_name,pct
Gallup,2.1,2.8,Mixed-mode,8,07/02/2029,05/06/2030,Elizabeth Warren,74.2
Ipsos,1.4,-1.4,Online Panel,2,07/09/2029,05/13/2030,Pete Buttigieg,14.3
Ipsos,2.4,1.1,Online Panel,9,07/16/2029,05/20/2030,Gavin Newsom,69.8
Gallup,1.1,-0.6,Mixed-mode,3,07/23/2029,05/27/2030,Bernie Sanders,59
SurveyMonkey,2.9,3.3,Online Panel,4,07/30/2029,06/03/2030,Pete Buttigieg,83.9
Ipsos,1.4,4.8,Telephone,7,08/06/2029,06/10/2030,Bernie Sanders,36
YouGov,1.7,2.6,Mixed-mode,4,08/13/2029,06/17/2030,Kamala Harris,84.8
Pew Research,1.2,1.5,Online Panel,4,08/20/2029,06/24/2030,Donald Trump,49.4
Ipsos,1.5,0.9,In-person,9,08/27/2029,07/01/2030,Pete Buttigieg,72.8
SurveyMonkey,2.5,3.4,Online Panel,1,09/03/2029,07/08/2030,Kamala Harris,25.2
Gallup,2.9,3.3,Online Panel,0,09/10/2029,07/15/2030,Pete Buttigieg,20.6
Ipsos,2.8,4.6,In-person,7,09/17/2029,07/22/2030,Pete Buttigieg,1.2
SurveyMonkey,2.9,-0.8,Telephone,0,09/24/2029,07/29/2030,Elizabeth Warren,69.6
YouGov,2.7,4.6,In-person,2,10/01/2029,08/05/2030,Gavin Newsom,54.2
Gallup,1.4,-1.6,Telephone,5,10/08/2029,08/12/2030,Gavin Newsom,57.9
SurveyMonkey,2.9,-2,Online Panel,9,10/15/2029,08/19/2030,Gavin Newsom,38.7
YouGov,2,-0.4,Mixed-mode,4,10/22/2029,08/26/2030,Pete Buttigieg,29.1
SurveyMonkey,2.5,4.6,Online Panel,3,10/29/2029,09/02/2030,Kamala Harris,93.8
YouGov,2.7,4.1,Mixed-mode,7,11/05/2029,09/09/2030,Elizabeth Warren,23.7
Ipsos,2.8,5,Telephone,7,11/12/2029,09/16/2030,Kamala Harris,60.6
YouGov,2.2,0.7,In-person,6,11/19/2029,09/23/2030,Pete Buttigieg,15.6
SurveyMonkey,1.5,1,Mixed-mode,5,11/26/2029,09/30/2030,Donald Trump,89.4
YouGov,2.1,-0.7,In-person,0,12/03/2029,10/07/2030,Gavin Newsom,98.5
SurveyMonkey,2.5,2.2,Online Panel,0,12/10/2029,10/14/2030,Kamala Harris,61.7
Gallup,1.6,3.5,Mixed-mode,6,12/17/2029,10/21/2030,Pete Buttigieg,28.7
SurveyMonkey,1.8,-0.9,Mixed-mode,5,12/24/2029,10/28/2030,Pete Buttigieg,57.7
Gallup,1.3,-0.9,Telephone,2,12/31/2029,11/04/2030,Gavin Newsom,39
SurveyMonkey,2.1,0.2,Online Panel,2,01/07/2030,11/11/2030,Bernie Sanders,83.9
SurveyMonkey,2.9,3.1,Telephone,3,01/14/2030,11/18/2030,Gavin Newsom,13.3
Ipsos,2.1,0.8,Online Panel,4,01/21/2030,11/25/2030,Pete Buttigieg,96.2
SurveyMonkey,2.7,4.7,Telephone,1,01/28/2030,12/02/2030,Donald Trump,14.1
SurveyMonkey,1.6,-1.5,Mixed-mode,0,02/04/2030,12/09/2030,Donald Trump,69.8
SurveyMonkey,2.9,0.5,Telephone,8,02/11/2030,12/16/2030,Gavin Newsom,5.5
Gallup,2.3,-2,In-person,1,02/18/2030,12/23/2030,Pete Buttigieg,94.6
Pew Research,1.8,2,Mixed-mode,9,02/25/2030,12/30/2030,Pete Buttigieg,46.5
YouGov,2.5,4.9,Online Panel,3,03/04/2030,01/06/2031,Donald Trump,37.4
Gallup,1.4,-0.4,Mixed-mode,0,03/11/2030,01/13/2031,Gavin Newsom,58.7
Pew Research,1.3,4.1,Telephone,0,03/18/2030,01/20/2031,Pete Buttigieg,51.9
YouGov,1.8,4.4,Mixed-mode,6,03/25/2030,01/27/2031,Pete Buttigieg,20.5
Ipsos,2.3,4.1,Online Panel,3,04/01/2030,02/03/2031,Donald Trump,56.6
Ipsos,1.1,1.2,In-person,5,04/08/2030,02/10/2031,Donald Trump,81.6
Gallup,1.2,-0.5,Mixed-mode,5,04/15/2030,02/17/2031,Kamala Harris,31.1
Ipsos,1.5,-1.7,Telephone,4,04/22/2030,02/24/2031,Donald Trump,3.8
Gallup,1.8,-1.6,Online Panel,3,04/29/2030,03/03/2031,Elizabeth Warren,27.4
Ipsos,2.7,1.6,In-person,3,05/06/2030,03/10/2031,Gavin Newsom,59.8
SurveyMonkey,1.3,4.9,Online Panel,2,05/13/2030,03/17/2031,Gavin Newsom,97.6
YouGov,1.3,-1.6,Telephone,5,05/20/2030,03/24/2031,Elizabeth Warren,59.2
Ipsos,1,3.4,Mixed-mode,4,05/27/2030,03/31/2031,Bernie Sanders,39.9
YouGov,2.6,-0.2,Mixed-mode,5,06/03/2030,04/07/2031,Pete Buttigieg,14
Gallup,2.7,0.4,Online Panel,7,06/10/2030,04/14/2031,Pete Buttigieg,25.3
YouGov,1,-1.7,Mixed-mode,2,06/17/2030,04/21/2031,Elizabeth Warren,87.6
YouGov,2.5,-0.7,Online Panel,2,06/24/2030,04/28/2031,Gavin Newsom,52.3
Ipsos,1.9,0.1,In-person,0,07/01/2030,05/05/2031,Pete Buttigieg,21.8
Ipsos,1.3,1.2,Online Panel,1,07/08/2030,05/12/2031,Gavin Newsom,26.9
YouGov,1.4,2.9,In-person,7,07/15/2030,05/19/2031,Kamala Harris,5.7
SurveyMonkey,1.3,2.9,Mixed-mode,1,07/22/2030,05/26/2031,Elizabeth Warren,5.3
SurveyMonkey,2.1,1.8,Telephone,7,07/29/2030,06/02/2031,Kamala Harris,12.4
YouGov,2.5,-0.4,Telephone,1,08/05/2030,06/09/2031,Donald Trump,55.7
YouGov,1.9,4.3,Mixed-mode,4,08/12/2030,06/16/2031,Gavin Newsom,74.6
Pew Research,2.6,3.9,Online Panel,7,08/19/2030,06/23/2031,Elizabeth Warren,7.5
YouGov,1.5,3.1,Telephone,4,08/26/2030,06/30/2031,Elizabeth Warren,85.2
Pew Research,2.6,3.9,In-person,6,09/02/2030,07/07/2031,Donald Trump,39
YouGov,1.9,-0.3,Telephone,2,09/09/2030,07/14/2031,Kamala Harris,11.9
Ipsos,1.4,1.6,In-person,7,09/16/2030,07/21/2031,Bernie Sanders,65.2
SurveyMonkey,2.6,3.9,Telephone,4,09/23/2030,07/28/2031,Pete Buttigieg,51.8
Pew Research,2.4,2,Online Panel,5,09/30/2030,08/04/2031,Gavin Newsom,31.9
SurveyMonkey,2.9,4.4,Mixed-mode,3,10/07/2030,08/11/2031,Kamala Harris,4.8
Gallup,1.1,1.4,Online Panel,6,10/14/2030,08/18/2031,Gavin Newsom,28.7
Pew Research,1.6,0.5,Telephone,4,10/21/2030,08/25/2031,Donald Trump,94.9
Pew Research,2.3,-1.3,Telephone,0,10/28/2030,09/01/2031,Kamala Harris,46.7
SurveyMonkey,2.6,3.2,Telephone,8,11/04/2030,09/08/2031,Kamala Harris,38.9
Pew Research,2.7,-1.2,In-person,1,11/11/2030,09/15/2031,Bernie Sanders,13.7
Ipsos,2.1,3.1,In-person,2,11/18/2030,09/22/2031,Gavin Newsom,18.9
SurveyMonkey,2.4,-0.3,Online Panel,9,11/25/2030,09/29/2031,Elizabeth Warren,76.3
Gallup,1.4,-1.1,In-person,3,12/02/2030,10/06/2031,Gavin Newsom,19.9
Gallup,2.5,-1.5,In-person,9,12/09/2030,10/13/2031,Donald Trump,14.7
Ipsos,2.1,-0.5,Telephone,0,12/16/2030,10/20/2031,Gavin Newsom,18.9
SurveyMonkey,2.2,4.7,In-person,9,12/23/2030,10/27/2031,Kamala Harris,29.5
Pew Research,2.9,-0.3,Telephone,7,12/30/2030,11/03/2031,Donald Trump,33.1
Pew Research,2.5,2.4,Telephone,8,01/06/2031,11/10/2031,Gavin Newsom,100
Pew Research,2.8,0.4,In-person,4,01/13/2031,11/17/2031,Elizabeth Warren,91
SurveyMonkey,2.2,-1.5,Telephone,8,01/20/2031,11/24/2031,Donald Trump,49.6
Ipsos,2.9,-0.5,Telephone,0,01/27/2031,12/01/2031,Pete Buttigieg,50.1
SurveyMonkey,1.4,2.8,In-person,5,02/03/2031,12/08/2031,Elizabeth Warren,45.3
Gallup,1.1,0.8,Mixed-mode,0,02/10/2031,12/15/2031,Donald Trump,84.1
Gallup,1.3,-1.5,In-person,5,02/17/2031,12/22/2031,Bernie Sanders,64.4
Gallup,1.1,3.4,In-person,6,02/24/2031,12/29/2031,Bernie Sanders,3.9
Pew Research,2.9,-1.9,Online Panel,5,03/03/2031,01/05/2032,Gavin Newsom,53.9
YouGov,1.3,1.8,Online Panel,8,03/10/2031,01/12/2032,Pete Buttigieg,39.2
YouGov,2.3,3.4,Mixed-mode,0,03/17/2031,01/19/2032,Bernie Sanders,54.3
YouGov,1.1,5,In-person,0,03/24/2031,01/26/2032,Pete Buttigieg,44.2
SurveyMonkey,2.6,-0.8,Online Panel,6,03/31/2031,02/02/2032,Elizabeth Warren,36.6
Gallup,2.4,3.7,In-person,5,04/07/2031,02/09/2032,Bernie Sanders,46.7
Ipsos,3,-1.6,Telephone,6,04/14/2031,02/16/2032,Elizabeth Warren,45.7
Ipsos,1.4,-1.6,Mixed-mode,0,04/21/2031,02/23/2032,Kamala Harris,30.6
SurveyMonkey,1.4,2.4,Telephone,8,04/28/2031,03/01/2032,Bernie Sanders,53.5
Ipsos,1,-1.8,Mixed-mode,7,05/05/2031,03/08/2032,Donald Trump,17.2
Ipsos,2.4,2.6,Mixed-mode,4,05/12/2031,03/15/2032,Bernie Sanders,71.7
Pew Research,2.4,0.7,Online Panel,5,05/19/2031,03/22/2032,Bernie Sanders,37.6
Gallup,1.8,1.3,Mixed-mode,4,05/26/2031,03/29/2032,Donald Trump,77.2
Pew Research,1.6,-1.9,Telephone,6,06/02/2031,04/05/2032,Donald Trump,92.9
Gallup,2.4,2.7,Online Panel,7,06/09/2031,04/12/2032,Gavin Newsom,99.8
SurveyMonkey,1.7,2.7,Online Panel,5,06/16/2031,04/19/2032,Gavin Newsom,25.5
Gallup,1.9,-1,Online Panel,1,06/23/2031,04/26/2032,Elizabeth Warren,30.3
Gallup,1.8,2.7,Mixed-mode,8,06/30/2031,05/03/2032,Elizabeth Warren,6.9
Gallup,2.4,4.9,Telephone,1,07/07/2031,05/10/2032,Kamala Harris,91.8
Pew Research,2.6,2.5,Online Panel,8,07/14/2031,05/17/2032,Kamala Harris,46.1
Pew Research,2.2,-1,In-person,4,07/21/2031,05/24/2032,Elizabeth Warren,29.7
Ipsos,3,-0.2,Telephone,1,07/28/2031,05/31/2032,Elizabeth Warren,16.7
Gallup,1.4,-1.4,Online Panel,2,08/04/2031,06/07/2032,Pete Buttigieg,1
Ipsos,1.4,3.1,Mixed-mode,4,08/11/2031,06/14/2032,Donald Trump,32.5
SurveyMonkey,1.5,2.2,In-person,4,08/18/2031,06/21/2032,Donald Trump,80
Ipsos,2.1,0.4,Online Panel,1,08/25/2031,06/28/2032,Donald Trump,76.9
YouGov,1.1,1,Telephone,0,09/01/2031,07/05/2032,Gavin Newsom,69.1
Gallup,1.5,2.1,Mixed-mode,3,09/08/2031,07/12/2032,Kamala Harris,50.5
Ipsos,2.7,0.8,Mixed-mode,0,09/15/2031,07/19/2032,Bernie Sanders,55.2
YouGov,1.7,1.6,Online Panel,4,09/22/2031,07/26/2032,Bernie Sanders,95.8
YouGov,2.6,-0.6,In-person,3,09/29/2031,08/02/2032,Bernie Sanders,91.3
YouGov,1,1.2,Online Panel,8,10/06/2031,08/09/2032,Gavin Newsom,45.7
Pew Research,2.2,-0.1,Mixed-mode,1,10/13/2031,08/16/2032,Gavin Newsom,0.5
Pew Research,1.2,-1.5,Mixed-mode,9,10/20/2031,08/23/2032,Bernie Sanders,61.1
Pew Research,1.8,4,In-person,8,10/27/2031,08/30/2032,Bernie Sanders,41.3
Gallup,2.4,4.8,Telephone,5,11/03/2031,09/06/2032,Bernie Sanders,94.4
YouGov,2.5,0.9,Mixed-mode,1,11/10/2031,09/13/2032,Pete Buttigieg,34.1
YouGov,2.8,2.9,Mixed-mode,9,11/17/2031,09/20/2032,Elizabeth Warren,54.7
YouGov,2.3,-1.7,Mixed-mode,1,11/24/2031,09/27/2032,Gavin Newsom,95.7
Gallup,1.4,-1.1,Mixed-mode,9,12/01/2031,10/04/2032,Donald Trump,23.1
Pew Research,2.6,4.1,In-person,6,12/08/2031,10/11/2032,Pete Buttigieg,18.5
Gallup,1.6,4.5,In-person,5,12/15/2031,10/18/2032,Pete Buttigieg,51.6
Gallup,1.3,1.6,Mixed-mode,5,12/22/2031,10/25/2032,Bernie Sanders,96.8
Ipsos,1.2,-0.7,In-person,5,12/29/2031,11/01/2032,Gavin Newsom,68
Ipsos,2.2,-0.4,Online Panel,4,01/05/2032,11/08/2032,Pete Buttigieg,68.1
Pew Research,1.2,0.4,Online Panel,0,01/12/2032,11/15/2032,Kamala Harris,93.2
YouGov,2.6,4.3,Mixed-mode,3,01/19/2032,11/22/2032,Donald Trump,77
Pew Research,1.9,4.7,Online Panel,6,01/26/2032,11/29/2032,Gavin Newsom,1.7
Pew Research,1.1,-1,Mixed-mode,6,02/02/2032,12/06/2032,Donald Trump,85.3
Pew Research,1.2,3.5,Online Panel,3,02/09/2032,12/13/2032,Donald Trump,13.4
SurveyMonkey,1.7,3.7,Telephone,5,02/16/2032,12/20/2032,Pete Buttigieg,21.6
YouGov,2.6,-1.9,Mixed-mode,5,02/23/2032,12/27/2032,Donald Trump,31.6
Pew Research,3,4.5,Mixed-mode,2,03/01/2032,01/03/2033,Kamala Harris,72.3
Gallup,1,-0.6,Telephone,9,03/08/2032,01/10/2033,Donald Trump,53.1
SurveyMonkey,1.4,4.3,In-person,0,03/15/2032,01/17/2033,Donald Trump,38.5
Ipsos,2.9,-0.8,Online Panel,3,03/22/2032,01/24/2033,Elizabeth Warren,97.7
YouGov,2.6,4,Mixed-mode,2,03/29/2032,01/31/2033,Gavin Newsom,92.9
SurveyMonkey,2.2,1.9,Mixed-mode,5,04/05/2032,02/07/2033,Elizabeth Warren,5.2
Ipsos,1,3.2,In-person,6,04/12/2032,02/14/2033,Kamala Harris,7.7
Ipsos,2.1,1.9,Online Panel,8,04/19/2032,02/21/2033,Gavin Newsom,80
Gallup,1.9,3.3,Mixed-mode,6,04/26/2032,02/28/2033,Bernie Sanders,17.4
Pew Research,2,2.5,In-person,1,05/03/2032,03/07/2033,Gavin Newsom,5.7
YouGov,2.1,0.4,In-person,0,05/10/2032,03/14/2033,Gavin Newsom,16.4
Gallup,1.9,1.4,Online Panel,7,05/17/2032,03/21/2033,Pete Buttigieg,80.3
SurveyMonkey,2.4,2.3,Online Panel,7,05/24/2032,03/28/2033,Pete Buttigieg,92.9
YouGov,2,2.9,Mixed-mode,8,05/31/2032,04/04/2033,Elizabeth Warren,82.6
YouGov,1.1,4.9,Mixed-mode,5,06/07/2032,04/11/2033,Gavin Newsom,49.1
Ipsos,2.1,4.5,Telephone,4,06/14/2032,04/18/2033,Donald Trump,72.6
Pew Research,1.6,-0.8,Online Panel,1,06/21/2032,04/25/2033,Donald Trump,98
SurveyMonkey,2.6,-1.9,In-person,7,06/28/2032,05/02/2033,Donald Trump,76.6
SurveyMonkey,2.2,1.2,Online Panel,6,07/05/2032,05/09/2033,Pete Buttigieg,11.3
YouGov,2.4,2.3,In-person,5,07/12/2032,05/16/2033,Bernie Sanders,30.1
YouGov,2.6,1.7,In-person,7,07/19/2032,05/23/2033,Kamala Harris,48.2
Ipsos,1.3,3.4,Mixed-mode,0,07/26/2032,05/30/2033,Elizabeth Warren,39.7
Ipsos,2.4,3,Mixed-mode,1,08/02/2032,06/06/2033,Elizabeth Warren,99.1
YouGov,2.8,4.9,Telephone,0,08/09/2032,06/13/2033,Donald Trump,59.7
Pew Research,2,3.9,Online Panel,7,08/16/2032,06/20/2033,Gavin Newsom,9.9
SurveyMonkey,1.1,-1.3,Online Panel,7,08/23/2032,06/27/2033,Elizabeth Warren,51.4
SurveyMonkey,2.1,0.9,In-person,1,08/30/2032,07/04/2033,Bernie Sanders,91
SurveyMonkey,1.8,2,Telephone,0,09/06/2032,07/11/2033,Kamala Harris,1.1
SurveyMonkey,2.3,-0.6,Mixed-mode,9,09/13/2032,07/18/2033,Gavin Newsom,95.4
Gallup,1.9,-1.8,In-person,6,09/20/2032,07/25/2033,Elizabeth Warren,86.6
SurveyMonkey,1.4,1.3,Telephone,3,09/27/2032,08/01/2033,Elizabeth Warren,6.8
YouGov,1.8,0.3,In-person,1,10/04/2032,08/08/2033,Bernie Sanders,88.4
Pew Research,2.8,-0,In-person,8,10/11/2032,08/15/2033,Gavin Newsom,63.5
YouGov,2.3,3.1,Online Panel,0,10/18/2032,08/22/2033,Donald Trump,91.5
SurveyMonkey,1.1,-1.5,Telephone,8,10/25/2032,08/29/2033,Donald Trump,20.8
YouGov,1.5,4.2,In-person,3,11/01/2032,09/05/2033,Donald Trump,58.6
YouGov,2.3,2.9,Telephone,8,11/08/2032,09/12/2033,Bernie Sanders,78.1
Gallup,1.9,2,In-person,4,11/15/2032,09/19/2033,Kamala Harris,14.5
Pew Research,2.9,3,Telephone,7,11/22/2032,09/26/2033,Pete Buttigieg,58.5
Ipsos,2.5,4,Online Panel,6,11/29/2032,10/03/2033,Gavin Newsom,66.3
Ipsos,2.9,2.6,Telephone,8,12/06/2032,10/10/2033,Pete Buttigieg,49.9
Ipsos,2.8,0.4,In-person,0,12/13/2032,10/17/2033,Donald Trump,40.4
Ipsos,1.8,1.3,Mixed-mode,1,12/20/2032,10/24/2033,Donald Trump,0.8
YouGov,1.5,4.5,In-person,0,12/27/2032,10/31/2033,Elizabeth Warren,64.5
YouGov,2.7,-0.1,Mixed-mode,5,01/03/2033,11/07/2033,Pete Buttigieg,23.7
Ipsos,1.2,-1.2,Telephone,0,01/10/2033,11/14/2033,Kamala Harris,38.2
YouGov,3,3,In-person,7,01/17/2033,11/21/2033,Gavin Newsom,93.1
Ipsos,2.5,1.9,Online Panel,7,01/24/2033,11/28/2033,Gavin Newsom,88.8
YouGov,2.7,1.2,Mixed-mode,1,01/31/2033,12/05/2033,Gavin Newsom,45.1
Ipsos,2.3,4.3,Online Panel,6,02/07/2033,12/12/2033,Gavin Newsom,46.5
Pew Research,1.9,0.6,Online Panel,1,02/14/2033,12/19/2033,Bernie Sanders,24.8
Pew Research,1.4,1.6,Telephone,0,02/21/2033,12/26/2033,Donald Trump,32.2
Pew Research,1.4,-1.3,Telephone,8,02/28/2033,01/02/2034,Gavin Newsom,14.8
SurveyMonkey,2.3,-0.4,Online Panel,8,03/07/2033,01/09/2034,Bernie Sanders,60.6
YouGov,1.2,4.7,Online Panel,6,03/14/2033,01/16/2034,Bernie Sanders,88.1
Ipsos,2.9,-1.5,In-person,8,03/21/2033,01/23/2034,Donald Trump,71.7
SurveyMonkey,2.2,-0.6,In-person,4,03/28/2033,01/30/2034,Donald Trump,67.5
YouGov,2.8,4.8,Online Panel,4,04/04/2033,02/06/2034,Bernie Sanders,58
Pew Research,1.4,3.6,Mixed-mode,6,04/11/2033,02/13/2034,Kamala Harris,21.5
Gallup,2.3,4.2,Online Panel,2,04/18/2033,02/20/2034,Kamala Harris,45.8
Gallup,1.5,3.1,Online Panel,0,04/25/2033,02/27/2034,Pete Buttigieg,50.3
Ipsos,1.8,3.3,Online Panel,1,05/02/2033,03/06/2034,Pete Buttigieg,90.2
Pew Research,2,-0.9,Telephone,2,05/09/2033,03/13/2034,Pete Buttigieg,94.1
SurveyMonkey,1.8,4.3,Mixed-mode,5,05/16/2033,03/20/2034,Bernie Sanders,53.4
Ipsos,2.7,1.1,In-person,9,05/23/2033,03/27/2034,Gavin Newsom,71.6
Pew Research,1.9,2.6,Telephone,3,05/30/2033,04/03/2034,Pete Buttigieg,69.2
SurveyMonkey,2.5,-0.1,In-person,3,06/06/2033,04/10/2034,Donald Trump,1.5
Ipsos,1.3,1.5,In-person,3,06/13/2033,04/17/2034,Elizabeth Warren,29.5
YouGov,2.1,3.1,Mixed-mode,9,06/20/2033,04/24/2034,Kamala Harris,17.6
SurveyMonkey,1.8,-1.8,Online Panel,4,06/27/2033,05/01/2034,Donald Trump,28.3
YouGov,2.4,0.1,Mixed-mode,9,07/04/2033,05/08/2034,Elizabeth Warren,50.4
SurveyMonkey,1.9,1.7,Online Panel,4,07/11/2033,05/15/2034,Kamala Harris,55.5
Ipsos,2.9,-0.5,In-person,6,07/18/2033,05/22/2034,Kamala Harris,31
Pew Research,2.1,1.3,In-person,4,07/25/2033,05/29/2034,Donald Trump,97.1
Gallup,1,4.6,Mixed-mode,7,08/01/2033,06/05/2034,Pete Buttigieg,32.2
Pew Research,2.9,0.6,In-person,0,08/08/2033,06/12/2034,Elizabeth Warren,13.7
SurveyMonkey,2.1,1.4,Online Panel,7,08/15/2033,06/19/2034,Kamala Harris,52
SurveyMonkey,2.4,-0.2,In-person,9,08/22/2033,06/26/2034,Kamala Harris,20.6
Pew Research,1.2,4.3,In-person,5,08/29/2033,07/03/2034,Bernie Sanders,44.3
YouGov,2,1.7,In-person,1,09/05/2033,07/10/2034,Donald Trump,83.1
Pew Research,1.2,3.7,Telephone,3,09/12/2033,07/17/2034,Kamala Harris,77.9
Gallup,2.5,-0.7,Online Panel,7,09/19/2033,07/24/2034,Gavin Newsom,58.7
YouGov,1.8,-0.6,Online Panel,6,09/26/2033,07/31/2034,Donald Trump,84.1
Pew Research,1.6,3.9,Mixed-mode,7,10/03/2033,08/07/2034,Gavin Newsom,66.7
Ipsos,2.3,2.1,Telephone,6,10/10/2033,08/14/2034,Gavin Newsom,91.1
Ipsos,1.1,3.8,In-person,9,10/17/2033,08/21/2034,Donald Trump,40.4
SurveyMonkey,1.7,2.9,Telephone,1,10/24/2033,08/28/2034,Kamala Harris,46.8
Gallup,2.2,-1.1,Mixed-mode,5,10/31/2033,09/04/2034,Gavin Newsom,30.9
YouGov,2.1,-1.3,In-person,2,11/07/2033,09/11/2034,Pete Buttigieg,49.5
Pew Research,2.7,4.8,Online Panel,5,11/14/2033,09/18/2034,Pete Buttigieg,34.9
SurveyMonkey,1.5,4.7,Mixed-mode,5,11/21/2033,09/25/2034,Bernie Sanders,9
Gallup,1.9,-1.7,Telephone,3,11/28/2033,10/02/2034,Pete Buttigieg,94.4
YouGov,1.2,4.6,Telephone,2,12/05/2033,10/09/2034,Kamala Harris,18.5
SurveyMonkey,1.7,-1.8,Telephone,7,12/12/2033,10/16/2034,Gavin Newsom,82.4
SurveyMonkey,2.9,4.3,Telephone,0,12/19/2033,10/23/2034,Donald Trump,23.9
YouGov,1.2,0.2,Mixed-mode,9,12/26/2033,10/30/2034,Donald Trump,96.2
Ipsos,2.3,3,Telephone,2,01/02/2034,11/06/2034,Donald Trump,72.3
Pew Research,2.9,2.8,Online Panel,6,01/09/2034,11/13/2034,Donald Trump,63.1
SurveyMonkey,2.8,-1.3,In-person,4,01/16/2034,11/20/2034,Kamala Harris,19.8
Ipsos,2,3.7,Telephone,0,01/23/2034,11/27/2034,Gavin Newsom,2.2
YouGov,2.1,-1.4,In-person,8,01/30/2034,12/04/2034,Donald Trump,29
Ipsos,2.5,0.8,In-person,9,02/06/2034,12/11/2034,Donald Trump,24
Gallup,1.7,-0.5,Online Panel,6,02/13/2034,12/18/2034,Pete Buttigieg,18.1
SurveyMonkey,2,4.8,Mixed-mode,7,02/20/2034,12/25/2034,Bernie Sanders,71.9
Pew Research,1.4,-1.5,Online Panel,4,02/27/2034,01/01/2035,Kamala Harris,33.9
Gallup,1.8,0.6,Online Panel,9,03/06/2034,01/08/2035,Gavin Newsom,95.1
YouGov,2.2,-0.8,In-person,5,03/13/2034,01/15/2035,Elizabeth Warren,39.9
YouGov,1.2,-0.8,In-person,0,03/20/2034,01/22/2035,Elizabeth Warren,49.7
YouGov,2.4,-0.7,In-person,2,03/27/2034,01/29/2035,Bernie Sanders,43.5
YouGov,2.8,-1.1,Online Panel,0,04/03/2034,02/05/2035,Elizabeth Warren,31
YouGov,2.5,3.5,Telephone,0,04/10/2034,02/12/2035,Kamala Harris,86.6
Gallup,1.3,-0.4,Mixed-mode,4,04/17/2034,02/19/2035,Donald Trump,97.1
SurveyMonkey,2.3,0.6,Telephone,5,04/24/2034,02/26/2035,Donald Trump,20.8
Ipsos,2.5,2,Mixed-mode,5,05/01/2034,03/05/2035,Pete Buttigieg,3.9
YouGov,2,0.4,Mixed-mode,2,05/08/2034,03/12/2035,Gavin Newsom,92.8
SurveyMonkey,1.7,1.2,In-person,2,05/15/2034,03/19/2035,Kamala Harris,11.5
YouGov,1.3,4.9,Online Panel,6,05/22/2034,03/26/2035,Donald Trump,36.2
Pew Research,2.9,1.7,Online Panel,1,05/29/2034,04/02/2035,Donald Trump,11.4
Pew Research,2.4,0.3,Mixed-mode,0,06/05/2034,04/09/2035,Elizabeth Warren,73.9
SurveyMonkey,2.4,1.9,Telephone,2,06/12/2034,04/16/2035,Gavin Newsom,92.1
Gallup,1.8,3.5,Mixed-mode,0,06/19/2034,04/23/2035,Bernie Sanders,23.9
Gallup,2.4,-0.8,In-person,2,06/26/2034,04/30/2035,Donald Trump,53.6
Gallup,1.1,3.7,Telephone,3,07/03/2034,05/07/2035,Gavin Newsom,46
Pew Research,2.6,3.2,Telephone,9,07/10/2034,05/14/2035,Gavin Newsom,90.5
Gallup,2.3,0.7,Mixed-mode,6,07/17/2034,05/21/2035,Gavin Newsom,8.4
SurveyMonkey,2.7,3.6,In-person,8,07/24/2034,05/28/2035,Pete Buttigieg,43.2
SurveyMonkey,2.1,2.1,Telephone,2,07/31/2034,06/04/2035,Elizabeth Warren,20
Gallup,3,4,Mixed-mode,7,08/07/2034,06/11/2035,Pete Buttigieg,58.2
SurveyMonkey,2.5,4.1,Mixed-mode,0,08/14/2034,06/18/2035,Kamala Harris,36.6
Gallup,2.7,-0.7,In-person,1,08/21/2034,06/25/2035,Elizabeth Warren,30.5
Gallup,1.3,4.6,In-person,6,08/28/2034,07/02/2035,Donald Trump,95.2
SurveyMonkey,1.5,-0.7,In-person,7,09/04/2034,07/09/2035,Elizabeth Warren,96.2
Pew Research,1.4,0.3,Mixed-mode,8,09/11/2034,07/16/2035,Gavin Newsom,27.5
Pew Research,1.5,2.6,Mixed-mode,8,09/18/2034,07/23/2035,Kamala Harris,36.8
Ipsos,2,0.2,Telephone,2,09/25/2034,07/30/2035,Kamala Harris,30.4
YouGov,1.8,-1.8,In-person,2,10/02/2034,08/06/2035,Elizabeth Warren,22.5
SurveyMonkey,1.2,-0.9,Online Panel,5,10/09/2034,08/13/2035,Bernie Sanders,57.7
SurveyMonkey,2.2,3.6,Telephone,5,10/16/2034,08/20/2035,Bernie Sanders,92.9
Pew Research,1.9,0.3,Telephone,5,10/23/2034,08/27/2035,Gavin Newsom,40.1
YouGov,2.6,-1.5,Online Panel,4,10/30/2034,09/03/2035,Bernie Sanders,51
Gallup,1.7,2.8,Online Panel,9,11/06/2034,09/10/2035,Gavin Newsom,50.4
Pew Research,1.9,-0.8,Telephone,5,11/13/2034,09/17/2035,Elizabeth Warren,9.3
Ipsos,2.1,2.8,In-person,6,11/20/2034,09/24/2035,Kamala Harris,20.2
Pew Research,2.5,1.5,Telephone,6,11/27/2034,10/01/2035,Pete Buttigieg,72.4
SurveyMonkey,2.4,-1.6,Mixed-mode,3,12/04/2034,10/08/2035,Elizabeth Warren,13.1
YouGov,1.1,0.7,In-person,2,12/11/2034,10/15/2035,Gavin Newsom,19.6
SurveyMonkey,2,1.5,Mixed-mode,8,12/18/2034,10/22/2035,Elizabeth Warren,43.3
Gallup,1.9,-0.7,Online Panel,7,12/25/2034,10/29/2035,Kamala Harris,38.5
